name,ingredients,diet,state,region
Basundi,"Sugar, milk, nuts",vegetarian,Gujarat,West
Dhondas,"Cucumber, rava",vegetarian,Maharashtra,West
Doodhpak,"Milk, rice, sugar, dry fruits",vegetarian,Gujarat,West
Mahim halwa,"Semolina, sugar",vegetarian,Maharashtra,West
Modak,"Rice flour, coconut, jaggery ",vegetarian,Maharashtra,West
Shankarpali,"Sugar, ghee, maida flour, semolina",vegetarian,Maharashtra,West
Shrikhand,"Curd, sugar, saffron, cardamom",vegetarian,Maharashtra,West
Sutar feni,"Maida, sugar, ghee",vegetarian,Maharashtra,West
Maach Jhol,"Fish, potol, tomato, chillies, ginger, garlic",non vegetarian,Assam,North East
Pork Bharta,"Boiled pork, onions, chillies, ginger and garlic",non vegetarian,Tripura,North East
Chak Hao Kheer,"Rice, milk, sugar, cardamom",vegetarian,Manipur,North East
Galho,"Rice, axone, salt, water, chillies, pork",non vegetarian,Nagaland,North East
Aloo gobi,"Cauliflower, potato, garam masala, turmeric, curry leaves",vegetarian,Punjab,North
Aloo tikki,"Rice flour, potato, bread crumbs, garam masala, salt",vegetarian,Punjab,North
Aloo matar,"Potato, peas, chillies, ginger, garam masala, garlic",vegetarian,Punjab,North
Aloo methi,"Potato, fenugreek leaves, chillies, salt, oil",vegetarian,Punjab,North
Aloo shimla mirch,"Potato, shimla mirch, garam masala, amchur powder, salt",vegetarian,Punjab,North
Bhatura,"Chole, rava, yogurt, plain flour, baking soda",vegetarian,Punjab,North
Bhindi masala,"Ladies finger, garam masala, kasuri methi, tomatoes, chili powder",vegetarian,Punjab,North
Biryani,"Chicken thighs, basmati rice, star anise, sweet, green chillies",non vegetarian,Telangana,South
Butter chicken,"Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter",non vegetarian,NCT of Delhi,North
Chana masala,"Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil",vegetarian,Punjab,North
Chapati,"Whole wheat flour, olive oil, hot water, all purpose flour",vegetarian,Maharashtra,West
Chicken razala,"Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron",non vegetarian,West Bengal,East
Chicken Tikka masala,"Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala",non vegetarian,Punjab,North
Chicken Tikka,"Chicken, whole wheat bread, rice flour, garam masala powder, whole egg",non vegetarian,Punjab,North
Chole bhature,"Chole, bhatura, garam masala, bay leaf, cinnamon stick",vegetarian,Punjab,North
Daal baati churma,"Moong dal, masoor dal, chana dal, wheat flour, almond",vegetarian,Rajasthan,West
Daal puri,"Moong dal, garam masala powder, garlic, green chilli, all purpose flour",vegetarian,West Bengal,East
Dal makhani ,"Red kidney beans, urad dal, cream, garam masala, chili powder",vegetarian,Punjab,North
Dal tadka,"Pigeon peas, garam masala, ginger, red onion, kasuri methi",vegetarian,Punjab,North
Dum aloo,"Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes",vegetarian,Jammu & Kashmir,North
Poha,"Beaten rice flakes, potato, curry leaves, green chilies, lemon juice",vegetarian,Maharashtra,West
Fara,"Chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder",vegetarian,Chhattisgarh,Central
Kachori,"Moong dal, rava, garam masala, dough, fennel seeds",vegetarian,Uttar Pradesh,North
Kadai paneer,"Cottage cheese, bell peppers, gravy, garam masala, cashew nuts",vegetarian,Punjab,North
Kadhi pakoda,"Besan, garam masala powder, gram flour, ginger, curry leaves",vegetarian,Haryana,North
Karela bharta,"Bitter gourd, fennel, garam masala powder, chili powder, amchur powder",vegetarian,Punjab,North
Khichdi,"Moong dal, green peas, ginger, tomato, green chili",vegetarian,-1,-1
Kofta,"Paneer, potato, cream, corn flour, garam masala",vegetarian,Uttar Pradesh,North
Kulfi falooda,"Rose syrup, falooda sev, mixed nuts, saffron, sugar",vegetarian,-1,-1
Lauki ke kofte,"Bottle gourd, garam masala powder, gram flour, ginger, chillies",vegetarian,Uttar Pradesh,North
Lauki ki subji,"Bottle gourd, coconut oil, garam masala, ginger, green chillies",vegetarian,-1,-1
Litti chokha,"Wheat flour, roasted gram flour, tomato, nigella seeds, chilli",vegetarian,Bihar,North
Makki di roti sarson da saag,"Palak, makki atta, mustard green, garam masala, ginger",vegetarian,Punjab,North
Misi roti,"Whole wheat flour, chickpea flour, green chilies",vegetarian,Punjab,North
Mushroom do pyaza,"Mushroom, malai, garam masala, ginger, capsicum",vegetarian,Punjab,North
Mushroom matar,"Canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes",vegetarian,Punjab,North
Naan,"Whole wheat flour, honey, butter, garlic",vegetarian,Punjab,North
Navrattan korma,"Green beans, potatoes, khus khus, low fat, garam masala powder",vegetarian,Uttar Pradesh,North
Palak paneer,"Cottage cheese, palak, cream, garam masala, butter",vegetarian,Punjab,North
Paneer butter masala,"Paneer, whipping cream, garam masala, cashew nuts, butter",vegetarian,Punjab,North
Paneer tikka masala,"Paneer, greek yogurt, tandoori masala, cream, bell pepper",vegetarian,Punjab,North
Pani puri,"Kala chana, mashed potato, boondi, sev, lemon",vegetarian,-1,-1
Panjeeri,"Whole wheat flour, musk melon seeds, poppy seeds, edible gum, semolina",vegetarian,Uttar Pradesh,
Papad,"Urad dal, sev, lemon juice, chopped tomatoes",vegetarian,-1,-1
Paratha,"Wheat flour, butter, potato, coriander",vegetarian,Punjab,North
Pattor,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli",vegetarian,Rajasthan,West
Pindi chana,"Fennel, tea bags, tomato, kasuri methi, cinnamon",vegetarian,Punjab,North
Rajma chaval,"Red kidney beans, garam masala powder, ginger, tomato, mustard oil",vegetarian,-1,North
Rongi,"Garam masala powder, tomato, kasuri methi, cinnamon, mustard oil",vegetarian,Punjab,North
Samosa,"Potatoes, green peas, garam masala, ginger, dough",vegetarian,-1,-1
Sattu ki roti,"Sattu, atta, dough, filling, mustard oil",vegetarian,Bihar,North
Shahi paneer,"Cottage cheese, malai, garam masala, ginger, tomato",vegetarian,Punjab,North
Shahi tukra,"Rose water, milk, white bread slices, saffron, almonds",vegetarian,Telangana,South
Vegetable jalfrezi,"Baby corn, french beans, garam masala, ginger, carrot",vegetarian,Punjab,North
Tandoori Chicken,"Greek yogurt, garam masala, kasuri methi, marinade, mustard oil",non vegetarian,Punjab,North
Tandoori Fish Tikka,"Chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper",non vegetarian,Punjab,North
Attu,"Whole wheat flour, arhar dal, ginger, kala jeera, green chilli",vegetarian,Andhra Pradesh,South
Avial,"Raw banana, elephant foot yam, long beans, tindora, urad dal",vegetarian,Kerala,South
Bisi bele bath,"Split pigeon peas, chana dal, urad dal, green peas, french beans",vegetarian,Karnataka,South
Currivepillai sadam ,"Chana dal, urad dal, fresh coconut, sesame seeds, curry leaves",vegetarian,Tamil Nadu,South
Dosa,"Chana dal, urad dal, whole urad dal, blend rice, rock salt",vegetarian,-1,South
Idiappam,"Rice flour, hot water, grated coconut",vegetarian,Tamil Nadu,South
Idli,"Split urad dal, urad dal, idli rice, thick poha, rock salt",vegetarian,-1,South
Kanji,"Carrot, yellow mustard, red chilli, black salt",vegetarian,Kerala,South
Kaara kozhambu,"Sesame oil, drumstick, tamarind paste, sambar powder, tomato",vegetarian,Tamil Nadu,South
Keerai kootu,"Moong dal, chana dal, spinach, urad dal, coconut oil",vegetarian,Tamil Nadu,South
Keerai masiyal,"Urad dal, curry leaves, sugar, mustard seeds, spinach",vegetarian,Tamil Nadu,South
Keerai sadam,"Greens, tomato, mustard seeds, fenugreek seeds",vegetarian,Tamil Nadu,South
Keerai poriyal,"Amaranth leaves, split urad dal, mustard seeds, grated coconut, red chili",vegetarian,Tamil Nadu,South
Beef Fry,"Beef, coconut, garam masala, curry leaves, green chilies, chili powder",non vegetarian,Kerala,South
Kootu,"Chana dal, urad dal, potato, beans, peas",vegetarian,Tamil Nadu,South
Kos kootu,"Moong dal, chana dal, cabbage, tamarind, curry leaves",vegetarian,Tamil Nadu,South
Koshambri,"Moong dal, cucumber, curry leaves, green chili, lemon juice",vegetarian,Karnataka,South
Kothamali sadam,"Chana dal, urad dal, gooseberry, raw rice, curry leaves",vegetarian,Tamil Nadu,South
Kuzhakkattai,"Sesame oil, raw rice, jaggery, grated coconut",vegetarian,Tamil Nadu,South
Kuzhambu,"Pearl onions, urad dal, drumsticks, tomato, curry leaves",vegetarian,Tamil Nadu,South
Masala Dosa,"Chana dal, urad dal, potatoes, idli rice, thick poha",vegetarian,-1,South
Pachadi,"Coconut oil, cucumber, curd, curry leaves, mustard seeds",vegetarian,-1,South
Paniyaram,"Yogurt, ginger, curry leaves, baking soda, green chilli",vegetarian,Tamil Nadu,South
Papadum,"Lentils, black pepper, vegetable oil",vegetarian,Kerala,South
Paravannam,"Raw rice,  jaggery, milk",vegetarian,Kerala,South
Payasam,"Rice, cashew nuts, milk, raisins, sugar",vegetarian,-1,South
Paruppu sadam,"Arhar dal, sambar powder, tomato, curry leaves, fennel seeds",vegetarian,Tamil Nadu,South
Pesarattu,"Green moong beans, rice flour",vegetarian,Andhra Pradesh,South
Poriyal,"Chana dal, urad dal, beans, coconut, mustard",vegetarian,Tamil Nadu,South
Puli sadam,"Urad dal, lemon, tamarind, cooked rice, curry leaves",vegetarian,Tamil Nadu,South
Rasam,"Tomato, curry leaves, garlic, mustard seeds, hot water",vegetarian,-1,South
Puttu,"Brown rice flour, sugar, grated coconut",vegetarian,Kerala,South
Sambar,"Pigeon peas, eggplant, drumsticks, sambar powder, tamarind",vegetarian,-1,South
Sandige,"Thin rice flakes, black sesame seeds, curry leaves",vegetarian,Karnataka,South
Sevai,"Sevai, parboiled rice, steamer",vegetarian,-1,South
Thayir sadam,"Urad dal, curd, sesame oil, ginger, curry leaves, mustard seeds",vegetarian,Tamil Nadu,South
Theeyal,"Coconut, whole red beans, masala, sesame oil, tamarind",vegetarian,Kerala,South
Uttapam,"Chana dal, urad dal, thick poha, tomato, butter",vegetarian,-1,South
Vada,"Urad dal, ginger, curry leaves, green chilies, black pepper",vegetarian,-1,South
Chicken Varuval,"Meat curry powder, chicken chunks, ginger, tomato, cinnamon",non vegetarian,Tamil Nadu,South
Upma,"Chana dal, urad dal, ginger, curry leaves, sugar",vegetarian,-1,-1
Amti,"Kala masala, arhar dal, curry leaves, mustard seeds, hot water",vegetarian,Maharashtra,West
Zunka,"Gram flour, mustard, garlic, turmeric, red chilli",vegetarian,Maharashtra,West
Kolim Jawla,"Baingan, fish, coconut oil, fresh coconut, ginger",non vegetarian,Maharashtra,West
Saath,"Urad dal, potatoes, wheat flour, sooji",vegetarian,Gujarat,West
Bajri no rotlo,"Wheat flour, pearl millet flour, hot water",vegetarian,Gujarat,West
Coconut vadi,"Condensed milk, mawa, desiccated coconut, almonds, cashews",vegetarian,Maharashtra,West
Bhakri,"Jowar flour, sesame seeds",vegetarian,Maharashtra,West
Bombil fry,"Bombay duck, malvani masala, rice flour, bombay rava, green chilies",non vegetarian,Maharashtra,West
Chakali,"Rice flour, sesame, plain flour, turmeric, red chilli",vegetarian,Maharashtra,West
Chevdo,"Citric acid, fry, raisins, sugar, chana daal",vegetarian,Gujarat,West
Chorafali,"Urad dal, bengal gram flour, dried mango, baking soda, black salt",vegetarian,Gujarat,West
Copra paak,"Condensed milk, nestle cream, coconut ice, red food coloring, desiccated coconut",vegetarian,Gujarat,West
Daal Dhokli,"Whole wheat flour, dal, kokum, gur, bengal gram flour",vegetarian,Gujarat,West
Kutchi dabeli,"Pav, aloo, peanut, pomegranate, star anise",vegetarian,Gujarat,West
Dahi vada,"Urad dal, bhuna chana, garam masala, dates, tamarind",vegetarian,Maharashtra,West
Dalithoy,"Arhar dal, coconut oil, curry leaves, mustard seeds, red chilli",vegetarian,Maharashtra,West
Dhokla,"Rava, coconut, gram flour, mustard, sesame",vegetarian,Gujarat,West
Dudhi halwa,"Bottle gourd, green, raisins, sugar, clarified butter",vegetarian,Gujarat,West
Gatta curry,"Yogurt, besan, sauce, garam masala powder, gram flour",vegetarian,Rajasthan,West
Gud papdi,"Wheat flour, jaggery, clarified butter, sliced almonds",vegetarian,Gujarat,West
Ghooghra,"Dry fruits, semolina, all purpose flour",vegetarian,Gujarat,West
Handwo,"Bottle gourd, chana dal, cabbage, urad dal, toor dal",vegetarian,Gujarat,West
Halvasan,"Whole wheat rava, chia seed, lemon, edible gum, litre milk",vegetarian,Gujarat,West
Jeera Aloo,"Green chilies, lemon juice, chili powder, boiled potatoes",vegetarian,Gujarat,West
Kansar,"Wheat flour, cashews, rapeseed oil",vegetarian,Gujarat,West
Keri no ras,"Mango, sugar",vegetarian,Gujarat,West
Khakhra,"Whole wheat flour, low fat, bengal gram flour",vegetarian,Gujarat,West
Khandvi,"Green chili paste, white sesame seeds, gram flour, curry leaves, green chili",vegetarian,Gujarat,West
Kombdi vade,"Rice flour, urad dal, wheat flour, gram flour, turmeric",vegetarian,Maharashtra,West
Laapsi,"Cinnamon, jaggery, clarified butter, dry roasted",vegetarian,Madhya Pradesh,Central
Koshimbir,"Cucumber, carrot, tomatoes, cilantro",vegetarian,Maharashtra,West
Methi na Gota,"Rava, gram flour, lemon juice, turmeric, fenugreek leaves",vegetarian,Gujarat,West
Mohanthal,"Rose water, pistachio, badam, bengal gram flour, saffron",vegetarian,Gujarat,West
Muthiya,"Bottle gourd, whole wheat flour, rava, sesame seeds, bengal gram flour",vegetarian,Gujarat,West
Patra,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli",vegetarian,Gujarat,West
Pav Bhaji,"Pav bhaji masala, gobi, potatoes, green peas, dinner rolls",vegetarian,Maharashtra,West
Puri Bhaji,"Aloo, urad dal, mustard, ginger, curry leaves",vegetarian,Maharashtra,West
Sabudana Khichadi,"Raw peanuts, sabudana, lemon, avocado oil, curry leaves, green chili",vegetarian,Maharashtra,West
Sev khamani,"Khaman, pomegranate, sev, powdered sugar, garlic",vegetarian,Gujarat,West
Sev tameta,"Sev, ginger, tomato, sugar",vegetarian,Gujarat,West
Namakpara,"Wheat flour, baking soda, all purpose flour, black pepper, sunflower oil",vegetarian,Gujarat,West
Sukhdi,"Whole wheat flour, gur, clarified butter",vegetarian,Maharashtra,West
Surnoli,"Rice flakes, yogurt, raw rice, jaggery, grated coconut",vegetarian,Maharashtra,West
Thalipeeth,"Whole wheat flour, rice flour, pearl millet flour, sorghum flour, sesame seeds",vegetarian,Maharashtra,West
Undhiyu,"Sweet potato, surti papdi, baby potatoes, valor papdi, green peas",vegetarian,Gujarat,West
Veg Kolhapuri,"Gobi, potato, beans, khus khus, coconut",vegetarian,Maharashtra,West
Vindaloo,"Chicken, coconut oil, wine vinegar, ginger, green, cinnamon",non vegetarian,Goa,West
Lilva Kachori,"Green garlic chutney, fresh green peas, ginger, lemon juice, plain flour",vegetarian,Gujarat,West
Mag Dhokli,"Moong beans, jaggery, red chillies, oil, salt",vegetarian,Gujarat,West
Khichu,"Rice flour, sesame seeds, baking soda, peanut oil",vegetarian,Gujarat,West
Thepla,"Chickpea flour, methi leaves, jowar flour, wheat flour",vegetarian,Gujarat,West
Farsi Puri,"Semolina, clarified butter, oil, white flour, black pepper",vegetarian,Gujarat,West
Khaman,"Yogurt, fresh coconut, sesame seeds, semolina, gram flour",vegetarian,Gujarat,West
Turiya Patra Vatana sabji,"Ridge gourd, baking soda, sugar, grated coconut, peas",vegetarian,Gujarat,West
Churma Ladoo,"Whole wheat flour, khus khus, sesame seeds, dry coconut, gur",vegetarian,Rajasthan,West
Cheera Doi,"Rice, mango, curd",vegetarian,West Bengal,East
Gheela Pitha,"Sticky rice, rice flour, jaggery, orange rind",vegetarian,Assam,North East
Khar,"Raw papaya, panch phoran masala, nigella seeds, mustard oil, fennel seeds",vegetarian,Assam,North East
Kumol Sawul,"Rice, eggs, carrot, beetroot",non vegetarian,Assam,North East
Luchi,"Maida, vegetable oil",vegetarian,West Bengal,East
Alu Pitika,"Potatoes, mustard oil, fish, green chillies",non vegetarian,Assam,North East
Masor tenga,"Ridge gourd, fish, lemon, tomatoes, mustard oil",non vegetarian,Assam,North East
Bengena Pitika,"Brinjal, onions, salt, sesame seeds, coriander",vegetarian,Assam,North East
Bilahi Maas,"Potatoes, garam masala, tomatoes, mustard oil, bay leaf",non vegetarian,Assam,North East
Black rice,"Forbidden black rice, chicken, olive oil, slivered almonds, garlic powder",non vegetarian,Manipur,North East
Bora Sawul,"Biryani masala, mixed vegetables, yellow moong daal, whole red, mustard seeds",vegetarian,Assam,North East
Brown Rice,"Brown rice, soy sauce, olive oil",vegetarian,-1,-1
Chingri malai curry,"Coconut milk, lobster, fresh green chilli, ginger, red onion",non vegetarian,West Bengal,East
Goja,"Baking soda, clarified butter, oil, all purpose flour",vegetarian,West Bengal,East
Hando Guri,"Jaggery, raisins",vegetarian,Assam,North East
Haq Maas,"Lamb, garam masala powder, curd, turmeric, bay leaf",non vegetarian,Assam,North East
Chingri Bhape,"Coconut, prawns, curd, mustard seed, green chili",non vegetarian,West Bengal,East
Kabiraji,"Fish fillet, besan, lemon, mint, ginger",non vegetarian,West Bengal,East
Khorisa,"Fermented bamboo shoot, potato, ginger, green, mustard oil",vegetarian,Assam,North East
Koldil Chicken,"Banana flower, chicken, green chili, mustard oil, lemon juice",non vegetarian,Assam,North East
Konir Dom,"Aloo, tomatoes, mustard oil, bay leaf, cinnamon stick",non vegetarian,Assam,North East
Koldil Duck,"Rice flour, mutton, banana, gram flour, olive oil, baking powder",non vegetarian,Assam,North East
Masor Koni,"Fish roe, pumpkin flowers, mustard oil, turmeric, tomato",non vegetarian,Assam,North East
Mishti Chholar Dal,"Chana dal, fresh coconut, ginger, cinnamon, raisins",vegetarian,West Bengal,East
Pakhala,"Curd, cooked rice, curry leaves, dry chilli",vegetarian,Odisha,East
Pani Pitha,"Tea leaves, white sesame seeds, dry coconut, soaked rice",vegetarian,Assam,North East
Payokh,"Basmati rice, rose water, sugar, clarified butter, cardamom pods",vegetarian,Assam,North East
Prawn malai curry,"Coconut milk, prawns, garlic, turmeric, sugar",non vegetarian,West Bengal,East
Red Rice,"Red pepper, red onion, butter, watercress, olive oil",vegetarian,-1,-1
Shukto,"Green beans, bitter gourd, ridge gourd, banana, brinjal",vegetarian,West Bengal,East
Til Pitha,"Glutinous rice, black sesame seeds, gur",vegetarian,Assam,North East
Bebinca,"Coconut milk, egg yolks, clarified butter, all purpose flour",vegetarian,Goa,West
Shufta,"Cottage cheese, dry dates, dried rose petals, pistachio, badam",vegetarian,Jammu & Kashmir,North
Mawa Bati,"Milk powder, dry fruits, arrowroot powder, all purpose flour",vegetarian,Madhya Pradesh,Central
Pinaca,"Brown rice, fennel seeds, grated coconut, black pepper, ginger powder",vegetarian,Goa,West
